UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin,Height
102150,34.31026,-112.56863,Low Clearance,Kirkland,AZ,86332,LC10,,10 - 5 height clearance (136),low_10_5_pushpin,
102268,33.392751000000004,-111.9686,Low Clearance,Phoenix,AZ,85042,LC15,,15 - 1 height clearance,low_15_1_pushpin,
102269,33.427305,-112.04778300000001,Low Clearance,Phoenix,AZ,85034,LC14,,14 - 0 height clearance,low_14_0_pushpin,
102270,33.44399,-112.09577,Low Clearance,Phoenix,AZ,85034,LC12,,12 - 0 height clearance (136),low_12_0_pushpin,
102271,33.444137,-112.073771,Low Clearance,Phoenix,AZ,85034,LC14,,14 - 0 height clearance,low_14_0_pushpin,
102272,33.445077000000005,-112.074904,Low Clearance,Phoenix,AZ,85034,LC15,,15 - 1 height clearance,low_15_1_pushpin,
102273,33.58193,-112.11689799999999,Low Clearance,Phoenix,AZ,85029,LC14,,"14 - 9 height clearance on west side, 15-1 on east side",low_14_9_pushpin,
102334,34.92838,-112.81603,Low Clearance,Prescott,AZ,86305,LC13,,13 - 6 height clearance,low_13_6_pushpin,
102362,33.619347999999995,-110.92183700000001,Low Clearance,Roosevelt,AZ,85545,LC12,,12 - 2 height clearance (136),low_12_0_pushpin,
102394,34.764196999999996,-111.656651,Low Clearance,Sedona,AZ,86351,LC13,,13 - 1 height clearance (136),low_13_1_pushpin,
102402,34.311771,-110.24871599999999,Low Clearance,Show Low,AZ,85901,LC11,,11 - 2 height clearance (136),low_11_2_pushpin,
102417,33.304629999999996,-111.08261999999999,Low Clearance,Superior,AZ,85173,LC13,,13 - 6 height clearance,low_13_6_pushpin,
102426,33.410998,-111.909154,Low Clearance,Tempe,AZ,85281,LC15,,15 - 6 height clearance,low_15_6_pushpin,
102427,33.411024,-111.93983999999999,Low Clearance,Tempe,AZ,85281,LC15,,15 - 2 height clearance,low_15_2_pushpin,
102464,32.10654,-110.99315,Low Clearance,Tucson,AZ,85746,LC15,,15 - 1 height clearance,low_15_1_pushpin,
102465,32.206783,-110.97960800000001,Low Clearance,Tucson,AZ,85746,LC13,,13 - 6 height clearance,low_13_6_pushpin,
102466,32.225235999999995,-110.96866399999999,Low Clearance,Tucson,AZ,85746,LC10,,10 - 10 height clearance (136),low_10_10_pushpin,
102467,32.22707,-110.9717,Low Clearance,Tucson,AZ,85746,LC13,,13 - 6 height clearance,low_13_6_pushpin,
102468,32.235827,-110.98155,Low Clearance,Tucson,AZ,85746,LC13,,13 - 10 height clearance,low_13_10_pushpin,
102469,32.25026,-110.99168999999999,Low Clearance,Tucson,AZ,85746,LC14,,14 - 0 height clearance,low_14_0_pushpin,
