Longitude,Latitude,Dump Site Name,State/Province
-83.660481,31.747615000000003,I-75 TURNER COUNTY REST AREA NB,GA
-83.584627,31.636477000000003,I-75 TURNER COUNTY REST AREA SB,GA
-83.470887,31.262939000000003,I-75 COOK COUNTY REST AREA SB,GA
-83.465523,31.241107,I-75 COOK COUNTY REST AREA NB,GA
-83.066671,34.471206,I-85 WELCOME CENTER SB,GA
-81.48792399999999,31.282705,I-95 REST AREA TOURIST INFORMATION SB,GA
-84.96563,32.568982,I-185 GEORGIA WELCOME CENTER,GA
-81.651034,30.754765999999996,I-95 Rest Area NB,GA
-95.939615,41.582021000000005,I-29 MISSOURI VALLEY REST AREA NB,IA
-95.827453,41.081148999999996,I-29 PACIFIC JUNCTION REST AREA NB SB,IA
-95.955277,41.593879,I-29 MISSOURI VALLEY REST AREA SB,IA
-96.110302,41.992284000000005,I-29 ONAWA REST AREA NB SB,IA
-96.353764,42.374927,I-29 SERGEANT BLUFF REST AREA NB SB,IA
-93.855357,40.656444,I-35 DECATUR REST AREA NB SB,IA
-93.795913,41.013282000000004,I-35 OSCEOLA REST AREA NB SB,IA
-93.552894,42.12429,I-35 STORY CITY REST AREA NB,IA
-93.55435899999999,42.112346,I-35 STORY CITY REST AREA SB,IA
-93.461221,42.673433,I-35 DOWS REST AREA-FOLLOW SIGNS NB SB,IA
-93.35505500000001,43.445553000000004,I-35 NORTHWOOD REST AREA-FOLLOW SIGNS NB SB,IA
-91.669501,41.867259000000004,I-380 CEDAR RAPIDS REST AREA NB SB,IA
-95.659083,41.402319,I-80 UNDERWOOD REST AREA EB WB,IA
-94.567256,41.496801,I-80 ADAIR REST AREA EB WB,IA
-92.779697,41.695219,I-80 GRINNELL REST AREA EB,IA
-92.231257,41.695795000000004,I-80 VICTOR REST AREA EB WB,IA
-91.681616,41.694292,I-80 TIFFIN REST AREA EB WB,IA
-93.631236,43.263246,Forest City,IA
-116.55913899999999,46.510626,US-12 LENORE REST AREA SB NB,ID
-112.42086,42.850629999999995,good Public RV Dump,ID
-112.43330800000001,42.911133,good Bannock County Fairgrounds,ID
-112.056219,43.471879,Idaho Falls South Tourist Park,ID
-111.96330800000001,43.542009,good Idaho Falls good,ID
-114.74846299999999,42.593737,BUHL Chamber of Commerce,ID
-112.515239,42.915105,Waste Treatment Plant Pocatello,ID
-116.672468,43.656703,Caldwel,ID
-111.39213600000001,42.229855,Paris,ID
-116.643942,46.614307000000004,Kendrick,ID
-116.96438,46.378282,Lewiston fairground,ID
-111.337359,44.498996999999996,Macks Inn,ID
-111.297477,42.323639,Montpelier City Park,ID
-116.983954,46.723739,Moscow County Fairgrounds,ID
-115.68418100000001,43.119479,Mountain Home,ID
-116.57938100000001,43.59466,Nampa,ID
-116.220188,46.627338,Orofino Dent Acres Campground,ID
-116.267536,46.487595,Orofino,ID
-111.39924199999999,42.225829,Paris City Park,ID
-115.79936699999999,46.492258,Pierce,ID
-113.668912,42.621827,Rupert,ID
-116.55738000000001,48.310176,Sandpoint Bonner County Fairground,ID
-112.123278,43.382877,Shelley Food Plaza,ID
-114.411483,42.929424,Shoshone,ID
-114.404426,42.932076,Shoshone,ID
-111.597279,42.656834,Soda Springs,ID
-116.921773,47.160545,Tensed,ID
-114.898288,42.813241999999995,Hagerman,ID
-115.822313,43.825684,Idaho City,ID
-116.93285700000001,43.622475,Homedale,ID
-114.47958600000001,42.559166999999995,Twin Falls,ID
-114.600558,42.570347,Filer,ID
-116.95875,44.248665,Weiser,ID
-117.050324,46.372294000000004,Lewiston,ID
-116.934008,43.781161,Parma,ID
-114.705808,42.772721000000004,Wendell,ID
-116.67398700000001,44.57156,Cambridge,ID
-116.91941899999999,44.804706,Brownlee,ID
-116.44039199999999,44.732343,Council,ID
-116.03030700000001,44.504667,Cascade,ID
-116.414243,43.489670000000004,Kuna,ID
-116.576816,43.604819,Nampa,ID
-116.393977,47.115984999999995,Fernwood,ID
-85.649426,40.422806,Fairmont Water treat plant,ID
-111.16014799999999,43.812214000000004,Tetonia,ID
-114.715107,42.943715000000005,Gooding,ID
-114.15413600000001,43.051916,Richfield,ID
-114.361457,42.535847,Kimberly,ID
-114.79185,43.343086,Fairfield Tourist info,ID
-116.291972,45.646009,Rest Stop,ID
-114.79426699999999,43.345702,Fairfield,ID
-111.89023799999998,42.096757000000004,Preston,ID
-114.53078000000001,42.728472,Jerome Public works,ID
-116.94056100000002,44.093149,Payette,ID
-112.838714,42.944614,Aberdeen,ID
-116.92378899999999,46.548922,Genesee,ID
-112.846197,42.799456,American Falls,ID
-116.764276,46.731777,Troy,ID
-111.45500700000001,44.078686,Ashton Visitor Center,ID
-116.135722,47.542403,Kellogg,ID
-116.781726,47.722204,Coeur d'Alene,ID
-113.946432,43.301946,Carey,ID
-113.61074199999999,43.915362,Mackay,ID
-114.305679,43.513633,Hailey,ID
-83.01485799999999,32.504546000000005,I-16 Rest Area WB,ID
-113.77279899999999,42.607651000000004,Paul,ID
-83.052018,32.509301,I-16 Rest Area EB,ID
-113.766112,42.538810999999995,Burley,ID
-114.13568300000001,42.590931,Hazelton,ID
-116.588415,47.317947,Saint Maries,ID
-112.245806,42.184971999999995,Malad City,ID
-114.210753,44.476368,Challis,ID
-116.62496100000001,46.240140000000004,Winchester,ID
-112.345793,43.191888,Blackfoot next to fire station,ID
-116.914243,48.448353000000004,Coolin,ID
-116.436753,43.638086,Meridian Water Treatment Plant,ID
-116.557369,48.310167,Sandpoint,ID
-113.783324,42.541668,Burley,ID
-87.774117,41.390592,I-57 PRAIRIE VIEW WELCOME CENTER NB SB,IL
-89.248028,40.613465999999995,I-74 MACKINAW DELLS REST AREA EB,IL
-89.228838,40.610164000000005,I-74 MACKINAW DELLS REST AREA WB,IL
-88.050345,41.792702,good CHICAGO Dump water,IL
-88.99542199999999,42.482805,Rest area DUMP last before chicago,IL
-88.509873,42.146521,TA TRUCK Stop,IL
-88.21011999999999,42.069697,Dump au Cabellas,IL
-88.050345,41.792702,good CHICAGO Dump water,IL
-87.975938,41.92223,Addison Water Treat Plant,IL
-88.471176,39.708606,Arthur Water treat plant,IL
-88.165578,41.69607,Naperville Water treat plant,IL
-86.625477,41.703907,I-80/90 TOLLWAY TRAVEL PLAZA EB,IN
-86.620684,41.708040999999994,I-80/90 TOLLWAY TRAVEL PLAZA WB,IN
-85.004791,41.73227,I-80/90 TOLLWAY TRAVEL PLAZA EB WB,IN
-85.32985500000001,41.746257,I-80/90 TOLLWAY PLAZA WB EB,IN
-97.620263,38.484134999999995,I-135 MCPHERSON REST AREA NB SB,KS
-97.327945,37.931548,I-135 SEDGWICK REST AREA SB NB,KS
-95.406512,38.525883,I-35 POMONA REST AREA SB NB,KS
-98.129361,38.85653,I-70 ELLSWORTH REST AREA EB WB,KS
-96.618931,39.066007,I-70 MANHATTAN REST AREA EB WB,KS
-96.120989,39.059768,I-70 PAXICO REST AREA EB WB,KS
-101.911138,39.328643,I-70 GOODLAND WELCOME CENTER EB WB,KS
-101.153035,39.365713,I-70 COLBY REST AREA EB WB,KS
-100.427116,39.099416999999995,I-70 GRAINFIELD REST AREA EB WB,KS
-97.641276,38.961622999999996,US-81 BENNINGTON REST AREA SB NB,KS
-97.040548,37.041671,Arkansas City,KS
-97.656407,39.551482,Concordia,KS
-96.53875699999999,38.371471,Cottonwood Falls,KS
-97.2697,37.525965,DERBY Water treat plant,KS
-95.520641,39.667359000000005,HORTON,KS
-100.32825,37.284164000000004,Meade,KS
-98.733789,37.637926,Pratt,KS
-101.887147,37.003396,Elkhart,KS
-98.154779,39.670288,Jewell,KS
-97.62140500000001,39.82948,Belleville,KS
-97.172863,37.273056,Oxford,KS
-96.512875,37.662669,Beaumont Rest Area,KS
-94.713425,37.81438,Fort Scott,KS
-95.239486,38.288996999999995,Garnett,KS
-95.737246,38.189246000000004,Burlington,KS
-96.843662,37.81769,El Dorado (donation),KS
-96.53598000000001,38.368551000000004,Cottonwood Falls,KS
-98.586917,37.280962,Medicine Lodge,KS
-95.153977,39.554017,Atchison,KS
-96.646097,39.838451,Marysville,KS
-91.721804,30.342665000000004,I-10 BUTTE LA ROSE REST AREA FOLLOW SIGNS EB WB,LA
-89.708188,30.298178999999998,I-10 WELCOME CENTER WB,LA
-94.005904,32.451559,I-20 WELCOME CENTER EB,LA
-92.480451,32.533297999999995,I-20 TREMONT REST AREA EB,LA
-92.442246,32.528268,I-20 TREMONT REST AREA WB,LA
-93.32753100000001,29.783006,Cameron,LA
-90.982938,32.323724,I-20 WELCOME CENTER WB,LA
-92.11895600000001,30.726267,I-49 GRAND PRAIRIE REST AREA FOLLOW SIGNS NB SB,LA
-90.50917199999999,30.984978,I-55 WELCOME CENTER SB,LA
-89.737984,30.324029,I-59 PEARL RIVER REST AREA SB,LA
-70.95223100000001,41.662602,New Bedford,MA
-99.95651099999999,49.861606,good BRANDON DUMP Riverbank Discovery Centre,MB
-76.845375,39.141638,I-95 WELCOME CENTER NB,MD
-68.678904,45.657286,Millinocket,ME
-69.778848,44.302036,Augusta 7:00 AM -3:00 PM,ME
-82.820338,43.421349,Sandusky,MI
-84.68413000000001,43.524358,Shepherd,MI
-83.677922,41.963631,Dundee Cabela`s,MI
-83.124601,42.289032,Detroit (check in),MI
-87.33784,45.700072999999996,Harris,MI
-84.848827,43.183461,Carson City,MI
-94.994113,43.642154999999995,Behind burger king,MN
-84.83462800000001,42.548046,Charlotte,MI
-87.411179,46.543534,? Marquette,MI
-92.21964799999999,46.725596,Holiday Station Store,MN
-94.00023399999999,43.873599,Mapleton,MN
-91.944234,47.714174,Babbitt,MN
-94.389528,44.892912,Hutchinson,MN
